TERM_DESCRSHORT,SUBJECT,CRSE_CODE,CLASS_SECTION,COURSE_TITLE_DESCR,INSTRUCTOR,GRADE,GRADE_COUNT
FS23,AAAS,100,1,Pathways into AAAS,"Brown,Ruth Nicole | Hayes,Robin",2.5,5
FS23,AAAS,100,1,Pathways into AAAS,"Brown,Ruth Nicole | Hayes,Robin",3,1
FS23,AAAS,100,1,Pathways into AAAS,"Brown,Ruth Nicole | Hayes,Robin",4,30
FS23,AAAS,100,1,Pathways into AAAS,"Brown,Ruth Nicole | Hayes,Robin",CR,1
FS23,AAAS,100,2,Pathways into AAAS,"Brown,Ruth Nicole | Hayes,Robin",2.5,3
FS23,AAAS,100,2,Pathways into AAAS,"Brown,Ruth Nicole | Hayes,Robin",3,3
FS23,AAAS,100,2,Pathways into AAAS,"Brown,Ruth Nicole | Hayes,Robin",4,17
FS23,AAAS,200,1,Black Feminisms,"Lewis,Sheri Katherine",1,1
FS23,AAAS,200,1,Black Feminisms,"Lewis,Sheri Katherine",2.5,3
FS23,AAAS,200,1,Black Feminisms,"Lewis,Sheri Katherine",3,3
FS23,AAAS,200,1,Black Feminisms,"Lewis,Sheri Katherine",3.5,3
FS23,AAAS,200,1,Black Feminisms,"Lewis,Sheri Katherine",4,28
FS23,AAAS,200,1,Black Feminisms,"Lewis,Sheri Katherine",NC,1
FS23,AAAS,202,1,Blk Genders Studies,"Wilmot,Renee Olivia",0,3
FS23,AAAS,202,1,Blk Genders Studies,"Wilmot,Renee Olivia",1,2
FS23,AAAS,202,1,Blk Genders Studies,"Wilmot,Renee Olivia",1.5,1
FS23,AAAS,202,1,Blk Genders Studies,"Wilmot,Renee Olivia",2,3
FS23,AAAS,202,1,Blk Genders Studies,"Wilmot,Renee Olivia",2.5,2
FS23,AAAS,202,1,Blk Genders Studies,"Wilmot,Renee Olivia",3,6
FS23,AAAS,202,1,Blk Genders Studies,"Wilmot,Renee Olivia",3.5,7
FS23,AAAS,202,1,Blk Genders Studies,"Wilmot,Renee Olivia",4,13
FS23,AAAS,202,1,Blk Genders Studies,"Wilmot,Renee Olivia",NC,1
FS23,AAAS,306,1,Blk Language/Literacy,"Jones,Natasha",3,1
FS23,AAAS,306,1,Blk Language/Literacy,"Jones,Natasha",4,10
FS23,AAAS,402,1,Producing Culture,"Kwakye,Chamara Jewel",4,16
FS23,AAE,220,2,English Grammar & Composition,"Rynbrandt,Matthew J | Walters,Patricia G",0,2
FS23,AAE,220,2,English Grammar & Composition,"Rynbrandt,Matthew J | Walters,Patricia G",2,2
FS23,AAE,220,2,English Grammar & Composition,"Rynbrandt,Matthew J | Walters,Patricia G",3,5
FS23,AAE,220,2,English Grammar & Composition,"Rynbrandt,Matthew J | Walters,Patricia G",3.5,6
FS23,AAE,222,1,Listen Spk for NNS of English,"Hou,Sandra | Walters,Patricia G",0,1
FS23,AAE,222,1,Listen Spk for NNS of English,"Hou,Sandra | Walters,Patricia G",1.5,1
FS23,AAE,222,1,Listen Spk for NNS of English,"Hou,Sandra | Walters,Patricia G",2,3
FS23,AAE,222,1,Listen Spk for NNS of English,"Hou,Sandra | Walters,Patricia G",3,8
FS23,AAE,222,1,Listen Spk for NNS of English,"Hou,Sandra | Walters,Patricia G",3.5,2
FS23,AAE,222,1,Listen Spk for NNS of English,"Hou,Sandra | Walters,Patricia G",4,3
FS23,AAE,223,1,Reading for NNS of English,"Krise,David | Kroesche,Amy E | Walters,Patricia G",2,1
FS23,AAE,223,1,Reading for NNS of English,"Krise,David | Kroesche,Amy E | Walters,Patricia G",2.5,2
FS23,AAE,223,1,Reading for NNS of English,"Krise,David | Kroesche,Amy E | Walters,Patricia G",3,2
FS23,AAE,223,1,Reading for NNS of English,"Krise,David | Kroesche,Amy E | Walters,Patricia G",3.5,4
FS23,AAE,223,1,Reading for NNS of English,"Krise,David | Kroesche,Amy E | Walters,Patricia G",4,3
FS23,ACC,201,1,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,2
FS23,ACC,201,1,Principles of Financial Acct,"Dellapelle,Allison Mary",3,8
FS23,ACC,201,1,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,11
FS23,ACC,201,1,Principles of Financial Acct,"Dellapelle,Allison Mary",4,17
FS23,ACC,201,2,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,3
FS23,ACC,201,2,Principles of Financial Acct,"Dellapelle,Allison Mary",3,11
FS23,ACC,201,2,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,16
FS23,ACC,201,2,Principles of Financial Acct,"Dellapelle,Allison Mary",4,9
FS23,ACC,201,3,Principles of Financial Acct,"Dellapelle,Allison Mary",1.5,1
FS23,ACC,201,3,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,2
FS23,ACC,201,3,Principles of Financial Acct,"Dellapelle,Allison Mary",3,10
FS23,ACC,201,3,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,8
FS23,ACC,201,3,Principles of Financial Acct,"Dellapelle,Allison Mary",4,19
FS23,ACC,201,4,Principles of Financial Acct,"Dellapelle,Allison Mary",2,1
FS23,ACC,201,4,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,3
FS23,ACC,201,4,Principles of Financial Acct,"Dellapelle,Allison Mary",3,9
FS23,ACC,201,4,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,15
FS23,ACC,201,4,Principles of Financial Acct,"Dellapelle,Allison Mary",4,11
FS23,ACC,201,5,Principles of Financial Acct,"Dellapelle,Allison Mary",2,1
FS23,ACC,201,5,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,3
FS23,ACC,201,5,Principles of Financial Acct,"Dellapelle,Allison Mary",3,9
FS23,ACC,201,5,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,14
FS23,ACC,201,5,Principles of Financial Acct,"Dellapelle,Allison Mary",4,12
FS23,ACC,201,6,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,7
FS23,ACC,201,6,Principles of Financial Acct,"Dellapelle,Allison Mary",3,9
FS23,ACC,201,6,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,9
FS23,ACC,201,6,Principles of Financial Acct,"Dellapelle,Allison Mary",4,12
FS23,ACC,201,7,Principles of Financial Acct,"Dellapelle,Allison Mary",2,1
FS23,ACC,201,7,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,3
FS23,ACC,201,7,Principles of Financial Acct,"Dellapelle,Allison Mary",3,7
FS23,ACC,201,7,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,20
FS23,ACC,201,7,Principles of Financial Acct,"Dellapelle,Allison Mary",4,7
FS23,ACC,201,8,Principles of Financial Acct,"Dellapelle,Allison Mary",0,1
FS23,ACC,201,8,Principles of Financial Acct,"Dellapelle,Allison Mary",2,2
FS23,ACC,201,8,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,8
FS23,ACC,201,8,Principles of Financial Acct,"Dellapelle,Allison Mary",3,7
FS23,ACC,201,8,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,8
FS23,ACC,201,8,Principles of Financial Acct,"Dellapelle,Allison Mary",4,14
FS23,ACC,201,9,Principles of Financial Acct,"Dellapelle,Allison Mary",1.5,1
FS23,ACC,201,9,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,7
FS23,ACC,201,9,Principles of Financial Acct,"Dellapelle,Allison Mary",3,12
FS23,ACC,201,9,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,13
FS23,ACC,201,9,Principles of Financial Acct,"Dellapelle,Allison Mary",4,6
FS23,ACC,201,10,Principles of Financial Acct,"Dellapelle,Allison Mary",1,1
FS23,ACC,201,10,Principles of Financial Acct,"Dellapelle,Allison Mary",1.5,1
FS23,ACC,201,10,Principles of Financial Acct,"Dellapelle,Allison Mary",2,2
FS23,ACC,201,10,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,7
FS23,ACC,201,10,Principles of Financial Acct,"Dellapelle,Allison Mary",3,7
FS23,ACC,201,10,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,8
FS23,ACC,201,10,Principles of Financial Acct,"Dellapelle,Allison Mary",4,13
FS23,ACC,201,11,Principles of Financial Acct,"Dellapelle,Allison Mary",2,1
FS23,ACC,201,11,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,3
FS23,ACC,201,11,Principles of Financial Acct,"Dellapelle,Allison Mary",3,8
FS23,ACC,201,11,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,20
FS23,ACC,201,11,Principles of Financial Acct,"Dellapelle,Allison Mary",4,7
FS23,ACC,201,12,Principles of Financial Acct,"Dellapelle,Allison Mary",2,2
FS23,ACC,201,12,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,2
FS23,ACC,201,12,Principles of Financial Acct,"Dellapelle,Allison Mary",3,12
FS23,ACC,201,12,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,12
FS23,ACC,201,12,Principles of Financial Acct,"Dellapelle,Allison Mary",4,11
FS23,ACC,201,15,Principles of Financial Acct,"Dellapelle,Allison Mary",1,1
FS23,ACC,201,15,Principles of Financial Acct,"Dellapelle,Allison Mary",2,3
FS23,ACC,201,15,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,2
FS23,ACC,201,15,Principles of Financial Acct,"Dellapelle,Allison Mary",3,8
FS23,ACC,201,15,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,10
FS23,ACC,201,15,Principles of Financial Acct,"Dellapelle,Allison Mary",4,15
FS23,ACC,201,16,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,8
FS23,ACC,201,16,Principles of Financial Acct,"Dellapelle,Allison Mary",3,11
FS23,ACC,201,16,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,12
FS23,ACC,201,16,Principles of Financial Acct,"Dellapelle,Allison Mary",4,8
FS23,ACC,201,17,Principles of Financial Acct,"Dellapelle,Allison Mary",1,1
FS23,ACC,201,17,Principles of Financial Acct,"Dellapelle,Allison Mary",2,1
FS23,ACC,201,17,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,5
FS23,ACC,201,17,Principles of Financial Acct,"Dellapelle,Allison Mary",3,13
FS23,ACC,201,17,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,10
FS23,ACC,201,17,Principles of Financial Acct,"Dellapelle,Allison Mary",4,9
FS23,ACC,201,18,Principles of Financial Acct,"Dellapelle,Allison Mary",2,4
FS23,ACC,201,18,Principles of Financial Acct,"Dellapelle,Allison Mary",2.5,9
FS23,ACC,201,18,Principles of Financial Acct,"Dellapelle,Allison Mary",3,7
FS23,ACC,201,18,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,12
FS23,ACC,201,18,Principles of Financial Acct,"Dellapelle,Allison Mary",4,7
FS23,ACC,201,LECH,Principles of Financial Acct,"Dellapelle,Allison Mary",3,5
FS23,ACC,201,LECH,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,11
FS23,ACC,201,LECH,Principles of Financial Acct,"Dellapelle,Allison Mary",4,22
FS23,ACC,201,LEH2,Principles of Financial Acct,"Dellapelle,Allison Mary",0,1
FS23,ACC,201,LEH2,Principles of Financial Acct,"Dellapelle,Allison Mary",1.5,1
FS23,ACC,201,LEH2,Principles of Financial Acct,"Dellapelle,Allison Mary",3,3
FS23,ACC,201,LEH2,Principles of Financial Acct,"Dellapelle,Allison Mary",3.5,5
FS23,ACC,201,LEH2,Principles of Financial Acct,"Dellapelle,Allison Mary",4,12
FS23,ACC,202,1,Principles of Management Acct,"Bettinghaus,Bruce",1,3
FS23,ACC,202,1,Principles of Management Acct,"Bettinghaus,Bruce",1.5,2
FS23,ACC,202,1,Principles of Management Acct,"Bettinghaus,Bruce",2,5
FS23,ACC,202,1,Principles of Management Acct,"Bettinghaus,Bruce",2.5,4
FS23,ACC,202,1,Principles of Management Acct,"Bettinghaus,Bruce",3,6
FS23,ACC,202,1,Principles of Management Acct,"Bettinghaus,Bruce",3.5,9
FS23,ACC,202,1,Principles of Management Acct,"Bettinghaus,Bruce",4,9
FS23,ACC,202,2,Principles of Management Acct,"Bettinghaus,Bruce",1,2
FS23,ACC,202,2,Principles of Management Acct,"Bettinghaus,Bruce",2,5
FS23,ACC,202,2,Principles of Management Acct,"Bettinghaus,Bruce",2.5,9
FS23,ACC,202,2,Principles of Management Acct,"Bettinghaus,Bruce",3,7
FS23,ACC,202,2,Principles of Management Acct,"Bettinghaus,Bruce",3.5,9
FS23,ACC,202,2,Principles of Management Acct,"Bettinghaus,Bruce",4,6
FS23,ACC,202,3,Principles of Management Acct,"Bettinghaus,Bruce",1,1
FS23,ACC,202,3,Principles of Management Acct,"Bettinghaus,Bruce",1.5,1
FS23,ACC,202,3,Principles of Management Acct,"Bettinghaus,Bruce",2,4
FS23,ACC,202,3,Principles of Management Acct,"Bettinghaus,Bruce",2.5,3
FS23,ACC,202,3,Principles of Management Acct,"Bettinghaus,Bruce",3,9
FS23,ACC,202,3,Principles of Management Acct,"Bettinghaus,Bruce",3.5,11
FS23,ACC,202,3,Principles of Management Acct,"Bettinghaus,Bruce",4,8
FS23,ACC,202,4,Principles of Management Acct,"Bettinghaus,Bruce",0,1
FS23,ACC,202,4,Principles of Management Acct,"Bettinghaus,Bruce",1,2
FS23,ACC,202,4,Principles of Management Acct,"Bettinghaus,Bruce",1.5,2
FS23,ACC,202,4,Principles of Management Acct,"Bettinghaus,Bruce",2,5
FS23,ACC,202,4,Principles of Management Acct,"Bettinghaus,Bruce",2.5,6
FS23,ACC,202,4,Principles of Management Acct,"Bettinghaus,Bruce",3,7
FS23,ACC,202,4,Principles of Management Acct,"Bettinghaus,Bruce",3.5,9
FS23,ACC,202,4,Principles of Management Acct,"Bettinghaus,Bruce",4,5
FS23,ACC,202,5,Principles of Management Acct,"Bettinghaus,Bruce",1.5,1
FS23,ACC,202,5,Principles of Management Acct,"Bettinghaus,Bruce",2,2
FS23,ACC,202,5,Principles of Management Acct,"Bettinghaus,Bruce",2.5,4
FS23,ACC,202,5,Principles of Management Acct,"Bettinghaus,Bruce",3,8
FS23,ACC,202,5,Principles of Management Acct,"Bettinghaus,Bruce",3.5,10
FS23,ACC,202,5,Principles of Management Acct,"Bettinghaus,Bruce",4,13
FS23,ACC,202,6,Principles of Management Acct,"Bettinghaus,Bruce",1,1
FS23,ACC,202,6,Principles of Management Acct,"Bettinghaus,Bruce",1.5,1
FS23,ACC,202,6,Principles of Management Acct,"Bettinghaus,Bruce",2,6
FS23,ACC,202,6,Principles of Management Acct,"Bettinghaus,Bruce",2.5,2
FS23,ACC,202,6,Principles of Management Acct,"Bettinghaus,Bruce",3,7
FS23,ACC,202,6,Principles of Management Acct,"Bettinghaus,Bruce",3.5,12
FS23,ACC,202,6,Principles of Management Acct,"Bettinghaus,Bruce",4,8
FS23,ACC,202,7,Principles of Management Acct,"Bettinghaus,Bruce",1,2
FS23,ACC,202,7,Principles of Management Acct,"Bettinghaus,Bruce",1.5,2
FS23,ACC,202,7,Principles of Management Acct,"Bettinghaus,Bruce",2,5
FS23,ACC,202,7,Principles of Management Acct,"Bettinghaus,Bruce",2.5,6
FS23,ACC,202,7,Principles of Management Acct,"Bettinghaus,Bruce",3,7
FS23,ACC,202,7,Principles of Management Acct,"Bettinghaus,Bruce",3.5,6
FS23,ACC,202,7,Principles of Management Acct,"Bettinghaus,Bruce",4,9
FS23,ACC,202,7,Principles of Management Acct,"Bettinghaus,Bruce",I,1
FS23,ACC,202,8,Principles of Management Acct,"Bettinghaus,Bruce",1,3
FS23,ACC,202,8,Principles of Management Acct,"Bettinghaus,Bruce",1.5,2
FS23,ACC,202,8,Principles of Management Acct,"Bettinghaus,Bruce",2,6
FS23,ACC,202,8,Principles of Management Acct,"Bettinghaus,Bruce",2.5,4
FS23,ACC,202,8,Principles of Management Acct,"Bettinghaus,Bruce",3,8
FS23,ACC,202,8,Principles of Management Acct,"Bettinghaus,Bruce",3.5,7
FS23,ACC,202,8,Principles of Management Acct,"Bettinghaus,Bruce",4,8
FS23,ACC,202,9,Principles of Management Acct,"Bettinghaus,Bruce",0,2
FS23,ACC,202,9,Principles of Management Acct,"Bettinghaus,Bruce",1,1
FS23,ACC,202,9,Principles of Management Acct,"Bettinghaus,Bruce",1.5,1
FS23,ACC,202,9,Principles of Management Acct,"Bettinghaus,Bruce",2,1
FS23,ACC,202,9,Principles of Management Acct,"Bettinghaus,Bruce",2.5,4
FS23,ACC,202,9,Principles of Management Acct,"Bettinghaus,Bruce",3,2
FS23,ACC,202,9,Principles of Management Acct,"Bettinghaus,Bruce",3.5,6
FS23,ACC,202,9,Principles of Management Acct,"Bettinghaus,Bruce",4,1
FS23,ACC,202,10,Principles of Management Acct,"Bettinghaus,Bruce",1.5,2
FS23,ACC,202,10,Principles of Management Acct,"Bettinghaus,Bruce",2,1
FS23,ACC,202,10,Principles of Management Acct,"Bettinghaus,Bruce",2.5,1
FS23,ACC,202,10,Principles of Management Acct,"Bettinghaus,Bruce",3,7
FS23,ACC,202,10,Principles of Management Acct,"Bettinghaus,Bruce",3.5,7
FS23,ACC,202,10,Principles of Management Acct,"Bettinghaus,Bruce",4,6
FS23,ACC,202,11,Principles of Management Acct,"Bettinghaus,Bruce",1,1
FS23,ACC,202,11,Principles of Management Acct,"Bettinghaus,Bruce",2,1
